;Código da Instituição;Nome da Instituição;Categoria Administrativa;Organização Acadêmica;Código do Curso de Graduação;Nome do Curso de Graduação;Código da Região Geográfica do Curso;Código da Unidade Federativa do Curso;Código do Município do Curso;Grau Acadêmico;Modalidade de Ensino;Nome da área do Curso segundo a classificação CINE BRASIL;Nome da Grande Área do Curso segundo a classificação CINE BRASIL;Ano de Ingresso;Ano de Referência;Prazo de Integralização em Anos;Ano de Integralização do Curso;Prazo de Acompanhamento do Curso em anos;Ano Máximo de Acompanhamento do Curso;Quantidade de Ingressantes no Curso;Quantidade de Permanência no Curso no ano de referência;Quantidade de Concluintes no Curso no ano de referência;Quantidade de Desistência no Curso no ano de referência;Quantidade de Falecimentos no Curso no ano de referência;Taxa de Permanência - TAP;Taxa de Conclusão Acumulada - TCA;Taxa de Desistência Acumulada - TODA;Taxa de Conclusão Anual - TCAN;Taxa de Desistência Anual - TDAN
1052;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;106738;ADMINISTRAÇÃO;4.0;43.0;4309407.0;1;1;Administração;Negócios, administração e direito;2010;2019;5;2014;9;2018;9;0;0;0;0;0;11,1;88,9;0;0
1053;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;106739;ADMINISTRAÇÃO;4.0;43.0;4305108.0;1;1;Administração;Negócios, administração e direito;2010;2019;5;2014;9;2018;415;0;0;0;0;0;55,6;44,4;0;0
1054;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;106740;ADMINISTRAÇÃO;4.0;43.0;4302105.0;1;1;Administração;Negócios, administração e direito;2010;2019;5;2014;9;2018;78;0;0;0;0;0;25,6;74,4;0;0
1055;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;106741;ADMINISTRAÇÃO;4.0;43.0;4307906.0;1;1;Administração;Negócios, administração e direito;2010;2019;5;2014;9;2018;39;0;0;0;0;0;12,8;87,2;0;0
1056;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;106744;ADMINISTRAÇÃO;4.0;43.0;4313300.0;1;1;Administração;Negócios, administração e direito;2010;2019;5;2014;9;2018;35;0;0;0;0;0;74,3;25,7;0;0
1057;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;106747;ADMINISTRAÇÃO;4.0;43.0;4319505.0;1;1;Administração;Negócios, administração e direito;2010;2019;5;2014;9;2018;40;0;0;0;0;0;33,3;66,7;0;0
1058;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;106748;ADMINISTRAÇÃO;4.0;43.0;4322509.0;1;1;Administração;Negócios, administração e direito;2010;2019;5;2014;9;2018;13;0;0;0;0;0;30,8;69,2;0;0
1059;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;106759;LETRAS - LÍNGUA PORTUGUESA;4.0;43.0;4302105.0;2;1;Letras português formação de professor;Educação;2010;2019;5;2014;8;2017;41;0;0;3;0;0;34,1;65,9;0;7,3
1060;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;106910;COMÉRCIO INTERNACIONAL;4.0;43.0;4305108.0;1;1;Comércio exterior;Negócios, administração e direito;2010;2019;5;2014;8;2017;207;11;2;4;0;5,3;41,5;53,1;1;1,9
1061;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;106912;COMÉRCIO INTERNACIONAL;4.0;43.0;4302105.0;1;1;Comércio exterior;Negócios, administração e direito;2010;2019;5;2014;8;2017;89;2;1;1;0;2,2;48,3;49,4;1,1;1,1
1062;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;106914;CIÊNCIAS CONTÁBEIS;4.0;43.0;4319505.0;1;1;Contabilidade;Negócios, administração e direito;2010;2019;5;2014;8;2017;72;2;0;3;0;2,8;48,6;48,6;0;4,2
1063;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;110670;ADMINISTRAÇÃO;4.0;43.0;4304408.0;1;1;Administração;Negócios, administração e direito;2010;2019;5;2014;9;2018;37;0;0;0;0;0;45,9;54,1;0;0
1064;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;112356;ARTES VISUAIS;4.0;43.0;4305108.0;2;1;Artes visuais formação de professor;Educação;2010;2019;5;2014;8;2017;35;1;1;0;0;2,9;31,4;65,7;2,9;0
1065;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;121110;DESIGN DE MODA;4.0;43.0;4305108.0;3;1;Moda;Artes e humanidades;2010;2019;4;2013;6;2015;165;4;1;3;0;2,4;57;40,6;0,6;1,8
1066;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;122821;DIREITO;4.0;43.0;4313300.0;1;1;Direito;Negócios, administração e direito;2010;2019;6;2015;10;2019;75;8;1;4;0;10,7;48;41,3;1,3;5,3
1068;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;301109;CIÊNCIAS BIOLÓGICAS;4.0;43.0;4305108.0;1;1;Biologia;Ciências naturais, matemática e estatística;2010;2019;5;2014;8;2017;80;0;0;0;0;0;33,8;66,3;0;0
1069;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;1105328;MÚSICA;4.0;43.0;4305108.0;2;1;Música formação de professor;Educação;2010;2019;5;2014;8;2017;47;3;0;1;0;6,4;21,3;72,3;0;2,1
1070;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;1105330;ENGENHARIA CIVIL;4.0;43.0;4305108.0;1;1;Engenharia civil;Engenharia, produção e construção;2010;2019;6;2015;10;2019;141;5;0;8;0;3,5;34;62,4;0;5,7
1071;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;1105331;DESIGN;4.0;43.0;4305108.0;1;1;Design;Artes e humanidades;2010;2019;5;2014;8;2017;78;8;2;2;0;10,3;28,2;61,5;2,6;2,6
1072;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;1105571;SECRETARIADO;4.0;43.0;4305108.0;3;1;Secretariado;Negócios, administração e direito;2010;2019;3;2012;5;2014;26;0;0;0;0;0;46,2;53,8;0;0
1073;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;1105777;ENFERMAGEM;4.0;43.0;4322509.0;1;1;Enfermagem;Saúde e bem-estar;2010;2019;6;2015;10;2019;41;0;0;1;0;0;75,6;24,4;0;2,4
1074;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;1107981;DESIGN;4.0;43.0;4302105.0;1;1;Design;Artes e humanidades;2010;2019;5;2014;8;2017;80;4;3;4;0;5;38,8;56,3;3,8;5
1075;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;1115906;GESTÃO DE RECURSOS HUMANOS;4.0;43.0;4305108.0;3;1;Gestão de pessoas;Negócios, administração e direito;2010;2019;3;2012;4;2013;38;0;1;1;0;0;28,9;71,1;2,6;2,6
1076;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;1115907;PROCESSOS GERENCIAIS;4.0;43.0;4305108.0;3;1;Gestão de negócios;Negócios, administração e direito;2010;2019;3;2012;4;2013;19;1;0;1;0;5,3;31,6;63,2;0;5,3
1077;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;1115908;ENFERMAGEM;4.0;43.0;4322806.0;1;1;Enfermagem;Saúde e bem-estar;2010;2019;6;2015;10;2019;25;0;0;0;0;0;28;72;0;0
1078;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;1115909;SOCIOLOGIA;4.0;43.0;4305108.0;2;1;Ciências sociais formação de professor;Educação;2010;2019;5;2014;8;2017;22;2;0;2;0;9,1;9,1;81,8;0;9,1
1079;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;1115910;ENGENHARIA ELETRÔNICA;4.0;43.0;4302105.0;1;1;Engenharia eletrônica;Engenharia, produção e construção;2010;2019;6;2015;10;2019;26;1;0;0;0;3,8;0;96,2;0;0
1080;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;1115914;ELETRÔNICA INDUSTRIAL;4.0;43.0;4305108.0;3;1;Eletrônica industrial;Engenharia, produção e construção;2010;2019;4;2013;6;2015;16;0;0;0;0;0;0;100;0;0
1081;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;1116795;FOTOGRAFIA;4.0;43.0;4305108.0;3;1;Fotografia;Artes e humanidades;2010;2019;3;2012;4;2013;31;0;0;1;0;0;22,6;77,4;0;3,2
1082;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;1116797;GESTÃO FINANCEIRA;4.0;43.0;4305108.0;3;1;Gestão financeira;Negócios, administração e direito;2010;2019;3;2012;4;2013;34;0;0;1;0;0;35,3;64,7;0;2,9
1083;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;1116798;GESTÃO COMERCIAL;4.0;43.0;4305108.0;3;1;Gestão comercial;Negócios, administração e direito;2010;2019;3;2012;4;2013;31;0;1;2;0;0;35,5;64,5;3,2;6,5
1084;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;1117530;MARKETING;4.0;43.0;4305108.0;3;1;Marketing;Negócios, administração e direito;2010;2019;3;2012;4;2013;26;2;0;0;0;7,7;26,9;65,4;0;0
1090;13;UNIVERSIDADE DE CAXIAS DO SUL;5;1;1127914;AUTOMAÇÃO INDUSTRIAL;4.0;43.0;4305108.0;3;1;Automação industrial;Engenharia, produção e construção;2010;2019;4;2013;7;2016;95;1;1;3;0;1,1;7,4;91,6;1,1;3,2
1093;14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;5;1;1222;HISTÓRIA;4.0;43.0;4318705.0;2;1;História formação de professor;Educação;2010;2019;5;2014;8;2017;102;3;2;0;0;2,9;21,6;75,5;2;0
1094;14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;5;1;1223;FILOSOFIA;4.0;43.0;4318705.0;2;1;Filosofia formação de professor;Educação;2010;2019;4;2013;7;2016;37;0;0;0;0;0;21,6;78,4;0;0
1095;14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;5;1;1224;CIÊNCIAS SOCIAIS;4.0;43.0;4318705.0;2;1;Ciências sociais formação de professor;Educação;2010;2019;5;2014;8;2017;29;0;0;0;0;0;20,7;79,3;0;0
1096;14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;5;1;1225;ENFERMAGEM;4.0;43.0;4318705.0;1;1;Enfermagem;Saúde e bem-estar;2010;2019;6;2015;10;2019;238;7;4;1;0;2,9;22,7;74,4;1,7;0,4
1097;14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;5;1;1227;NUTRIÇÃO;4.0;43.0;4318705.0;1;1;Nutrição;Saúde e bem-estar;2010;2019;5;2014;8;2017;185;3;2;1;0;1,6;25,4;73;1,1;0,5
1098;14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;5;1;1230;DIREITO;4.0;43.0;4318705.0;1;1;Direito;Negócios, administração e direito;2010;2019;6;2015;10;2019;960;30;15;8;0;3,1;29,8;67,1;1,6;0,8
