;Nome da Instituição;Nome do Curso de Graduação;Quantia de Bolsas;Código do Curso de Graduação;Quantidade de Ingressantes no Curso;Quantidade de Desistências;Nome da Grande Área do Curso segundo a classificação CINE BRASIL;Percentual de Bolsas
70;faculdade anglicana de erechim;design;4;101256;430;134.0;artes e humanidades;0.93
71;faculdade anglicana de erechim;eletrônica industrial;2;1123213;370;128.0;engenharia, produção e construção;0.54
72;faculdade anglicana de erechim;pedagogia;1;101287;420;129.0;educação;0.24
73;faculdade anhanguera de caxias do sul;administração;7;115184;1580;724.0;negócios, administração e direito;0.44
74;faculdade anhanguera de caxias do sul;ciências contábeis;1;117521;620;261.0;negócios, administração e direito;0.16
75;faculdade anhanguera de caxias do sul;engenharia de produção;1;1123439;830;368.0;engenharia, produção e construção;0.12
76;faculdade anhanguera de caxias do sul;serviço social;5;117524;750;282.0;saúde e bem-estar;0.67
77;faculdade anhanguera de passo fundo;administração;64;48455;2260;984.0;negócios, administração e direito;2.83
78;faculdade anhanguera de passo fundo;ciências contábeis;19;68178;1270;553.0;negócios, administração e direito;1.5
79;faculdade anhanguera de passo fundo;direito;58;66395;2480;1041.0;negócios, administração e direito;2.34
80;faculdade anhanguera de passo fundo;gestão comercial;18;104042;730;349.0;negócios, administração e direito;2.47
81;faculdade anhanguera de passo fundo;gestão da tecnologia da informação;6;104116;130;112.0;computação e tecnologias da informação e comunicação (tic);4.62
82;faculdade anhanguera de passo fundo;gestão de recursos humanos;12;1070127;600;283.0;negócios, administração e direito;2.0
83;faculdade anhanguera de pelotas;administração;36;59316;2750;1542.0;negócios, administração e direito;1.31
84;faculdade anhanguera de pelotas;ciências biológicas;20;105959;810;321.0;educação;2.47
85;faculdade anhanguera de pelotas;direito;17;86408;3040;1510.0;negócios, administração e direito;0.56
86;faculdade anhanguera de pelotas;educação física;13;98728;3940;1540.0;educação;0.33
87;faculdade anhanguera de pelotas;enfermagem;11;98723;2450;1115.0;saúde e bem-estar;0.45
88;faculdade anhanguera de pelotas;engenharia de produção;13;1117478;920;541.0;engenharia, produção e construção;1.41
89;faculdade anhanguera de pelotas;engenharia mecânica;13;1117754;1900;1051.0;engenharia, produção e construção;0.68
90;faculdade anhanguera do rio grande;administração;59;59309;2880;1410.0;negócios, administração e direito;2.05
91;faculdade anhanguera do rio grande;ciências biológicas;1;110654;140;136.0;educação;0.71
92;faculdade anhanguera do rio grande;direito;27;87933;2920;1251.0;negócios, administração e direito;0.92
93;faculdade anhanguera do rio grande;enfermagem;9;5000331;1850;895.0;saúde e bem-estar;0.49
94;faculdade anhanguera do rio grande;engenharia de controle e automação;2;1119305;850;429.0;engenharia, produção e construção;0.24
95;faculdade anhanguera do rio grande;engenharia mecânica;15;1117755;2900;1527.0;engenharia, produção e construção;0.52
96;faculdade anhanguera do rio grande;fisioterapia;9;104382;2080;979.0;saúde e bem-estar;0.43
97;faculdade anhanguera do rio grande;psicologia;6;99604;1910;853.0;ciências sociais, comunicação e informação;0.31
98;faculdade anhanguera do rio grande;sistemas para internet;1;96601;100;82.0;computação e tecnologias da informação e comunicação (tic);1.0
99;faculdade antônio meneghetti;administração;1;108118;300;80.0;negócios, administração e direito;0.33
100;faculdade antônio meneghetti;sistema de informação;2;1057622;90;30.0;computação e tecnologias da informação e comunicação (tic);2.22
101;faculdade camaqüense de ciências contábeis e administrativas;administração;3;9449;410;136.0;negócios, administração e direito;0.73
102;faculdade camaqüense de ciências contábeis e administrativas;ciências contábeis;2;9450;150;64.0;negócios, administração e direito;1.33
103;faculdade camaqüense de ciências contábeis e administrativas;educação física;6;1135235;390;200.0;saúde e bem-estar;1.54
104;faculdade cnec farroupilha;administração;8;14943;930;476.0;negócios, administração e direito;0.86
105;faculdade cnec farroupilha;direito;6;96000;770;388.0;negócios, administração e direito;0.78
