Unnamed: 0;NOME_IES_BOLSA;COD_CURSO;NOME_CURSO_BOLSA;BOLSAS;TODA
8039;universidade luterana do brasil;38798;psicologia;4;71,1
8040;universidade luterana do brasil;39034;psicologia;4;85,2
8041;universidade luterana do brasil;39204;psicologia;4;87,5
8042;universidade luterana do brasil;39351;psicologia;4;84,5
8043;universidade luterana do brasil;39376;psicologia;4;86,8
8044;universidade luterana do brasil;59423;psicologia;4;72,5
8045;universidade luterana do brasil;59425;psicologia;4;100
8046;universidade luterana do brasil;66507;química;7;88,7
8047;universidade luterana do brasil;66518;radiologia;2;90,2
8048;universidade luterana do brasil;65565;redes de computadores;2;91,9
8049;universidade luterana do brasil;9276;serviço social;13;93,9
8050;universidade luterana do brasil;38801;serviço social;13;96,7
8051;universidade luterana do brasil;52825;serviço social;13;78,9
8052;universidade luterana do brasil;72859;serviço social;13;94,2
8053;universidade luterana do brasil;117054;serviço social;13;94,6
8054;universidade luterana do brasil;20971;sistemas de informação;5;100
8055;universidade luterana do brasil;20972;sistemas de informação;5;91
8056;universidade luterana do brasil;22110;sistemas de informação;5;77,5
8057;universidade luterana do brasil;40555;sistemas de informação;5;85,6
8058;universidade luterana do brasil;52809;sistemas de informação;5;91,4
8059;universidade luterana do brasil;54818;sistemas de informação;5;89,2
8060;universidade luterana do brasil;59523;sistemas de informação;5;87,8
8061;universidade luterana do brasil;9318;teologia;5;57,7
8062;universidade luterana do brasil;123528;teologia;5;94,6
