;Nome da Instituição;Código do Curso de Graduação;Nome do Curso de Graduação;Quantia de Bolsas;Quantidade de Ingressantes no Curso;Percentual de Bolsas;Taxa de Desistência Acumulada - TODA
230;centro universitário central paulista;16119;administração;91;325;28.0;65,5
231;centro universitário central paulista;68685;arquitetura e urbanismo;11;107;10.28;58,9
232;centro universitário central paulista;97529;biomedicina;3;39;7.69;59
233;centro universitário central paulista;68683;ciências biológicas;4;59;6.78;81,8
234;centro universitário central paulista;16120;ciências contábeis;21;82;25.61;50
235;centro universitário central paulista;109199;comunicação social - publicidade e propaganda;3;76;3.95;52,6
236;centro universitário central paulista;74234;direito;10;187;5.35;78,5
237;centro universitário central paulista;63602;educação física;7;175;4.0;74,4
238;centro universitário central paulista;74870;enfermagem;31;82;37.8;45,1
239;centro universitário central paulista;104475;engenharia de computação;3;60;5.0;86,7
240;centro universitário central paulista;63604;engenharia de produção;35;176;19.89;70,3
241;centro universitário central paulista;21554;engenharia elétrica;17;78;21.79;62,8
242;centro universitário central paulista;63606;farmácia;16;79;20.25;48,1
243;centro universitário central paulista;56438;fisioterapia;15;75;20.0;62,7
244;centro universitário central paulista;120072;gestão de turismo;4;31;12.9;41,9
245;centro universitário central paulista;16122;história;10;29;34.48;62,1
246;centro universitário central paulista;95733;letras - português e inglês;9;40;22.5;47,5
247;centro universitário central paulista;105878;manutenção de aeronaves;20;61;32.79;68,9
248;centro universitário central paulista;56440;nutrição;5;42;11.9;64,3
249;centro universitário central paulista;16125;pedagogia;19;80;23.75;42,5
250;centro universitário central paulista;105886;produção sucroalcooleira;9;39;23.08;76,9
251;centro universitário central paulista;117554;psicologia;12;90;13.33;60
252;centro universitário central paulista;97531;radiologia;9;54;16.67;75,9
253;centro universitário central paulista;56404;sistemas de informação;17;54;31.48;81,5
254;centro universitário christus;17426;administração;38;159;23.9;55,3
255;centro universitário christus;51158;ciências contábeis;5;55;9.09;54,5
256;centro universitário christus;51662;direito;20;292;6.85;55,8
257;centro universitário christus;52783;fisioterapia;6;43;13.95;60,5
258;centro universitário christus;90084;medicina;11;157;7.01;30,6
259;centro universitário christus;53342;sistemas de informação;4;18;22.22;44,4
260;centro universitário claretiano;20620;administração;8;268;2.99;42,2
261;centro universitário claretiano;49903;ciências biológicas;12;60;20.0;51,4
262;centro universitário claretiano;4372;educação física;18;950;1.89;49,4
263;centro universitário claretiano;62463;enfermagem;15;65;23.08;38,5
264;centro universitário claretiano;4374;filosofia;6;423;1.42;64,7
265;centro universitário claretiano;4375;fisioterapia;12;99;12.12;47,5
266;centro universitário claretiano;102318;gestão de recursos humanos;4;430;0.93;60,8
267;centro universitário claretiano;41163;letras - português e inglês;5;338;1.48;50
268;centro universitário claretiano;370686;nutrição;8;93;8.6;37,6
269;centro universitário claretiano;4373;pedagogia;13;1027;1.27;39,5
270;centro universitário claretiano;108831;química;8;38;21.05;60,5
271;centro universitário claretiano;49906;sistemas de informação;6;48;12.5;56,3
272;centro universitário curitiba;20655;administração;38;104;36.54;56,7
273;centro universitário curitiba;27484;comunicação social - publicidade e propaganda;23;60;38.33;50
274;centro universitário curitiba;115792;design de interiores;32;113;28.32;54,9
275;centro universitário curitiba;106626;design gráfico;42;117;35.9;43,6
276;centro universitário curitiba;20651;direito;128;893;14.33;47,1
277;centro universitário curitiba;85246;gestão da produção industrial;34;67;50.75;53,7
278;centro universitário curitiba;83482;gestão de recursos humanos;37;88;42.05;38,6
279;centro universitário curitiba;83459;gestão financeira;33;55;60.0;52,7
280;centro universitário curitiba;85244;logística;29;54;53.7;55,6
281;centro universitário curitiba;83484;marketing;31;71;43.66;54,9
282;centro universitário curitiba;20654;relações internacionais;36;154;23.38;50,6
283;centro universitário da cidade;5431;administração;123;1131;10.88;96,8
284;centro universitário da cidade;5390;análise e desenvolvimento de sistemas;31;276;11.23;99,2
285;centro universitário da cidade;47011;ciência da computação;14;84;16.67;100
286;centro universitário da cidade;47192;ciências biológicas;5;51;9.8;100
287;centro universitário da cidade;5389;ciências contábeis;24;241;9.96;98,8
288;centro universitário da cidade;5428;dança;6;57;10.53;78,9
289;centro universitário da cidade;35188;desenho industrial;18;183;9.84;94,9
290;centro universitário da cidade;5436;direito;86;1152;7.47;100
291;centro universitário da cidade;94673;educação física;43;307;14.01;98,4
292;centro universitário da cidade;103900;enfermagem;19;188;10.11;98,4
293;centro universitário da cidade;103890;engenharia ambiental;10;77;12.99;98,7
294;centro universitário da cidade;94255;engenharia de produção;9;158;5.7;98,7
295;centro universitário da cidade;5392;engenharia elétrica;6;71;8.45;100
296;centro universitário da cidade;47194;fisioterapia;14;83;16.87;95,2
297;centro universitário da cidade;103920;hotelaria;3;69;4.35;98,6
298;centro universitário da cidade;22226;jornalismo;12;67;17.91;97
299;centro universitário da cidade;47014;letras - espanhol;2;16;12.5;93,8
300;centro universitário da cidade;35190;letras - inglês;4;28;14.29;92,9
301;centro universitário da cidade;5429;marketing;29;236;12.29;87,9
302;centro universitário da cidade;47093;pedagogia;15;85;17.65;94,1
303;centro universitário da cidade;47013;publicidade e propaganda;14;159;8.81;96,2
304;centro universitário da cidade;94278;redes de computadores;12;87;13.79;93,1
305;centro universitário da cidade;46959;relações internacionais;11;113;9.73;99,1
306;centro universitário da cidade;103886;sistema de informação;13;103;12.62;95,1
307;centro universitário da cidade;108190;teatro;6;149;4.03;94,6
308;centro universitário da cidade;5425;turismo;31;228;13.6;94,7
309;centro universitário da fundação educacional de barretos;3529;administração;8;107;7.48;53,3
310;centro universitário da fundação educacional de barretos;107283;agronomia;2;44;4.55;40,9
311;centro universitário da fundação educacional de barretos;115888;ciências biológicas;4;51;7.84;37,3
312;centro universitário da fundação educacional de barretos;18306;direito;11;192;5.73;53,1
313;centro universitário da fundação educacional de barretos;1105208;educação física;6;119;5.04;86,7
314;centro universitário da fundação educacional de barretos;115898;engenharia ambiental;7;88;7.95;59,1
315;centro universitário da fundação educacional de barretos;85622;engenharia civil;9;267;3.37;100
316;centro universitário da fundação educacional de barretos;115894;engenharia de produção;11;133;8.27;42,9
317;centro universitário da fundação educacional de barretos;85626;engenharia elétrica;6;91;6.59;93,3
318;centro universitário da fundação educacional de barretos;115896;engenharia mecânica;16;150;10.67;48,7
319;centro universitário da fundação educacional de barretos;115892;engenharia química;5;88;5.68;45,5
320;centro universitário da fundação educacional de barretos;85504;farmácia;7;77;9.09;47,8
321;centro universitário da fundação educacional de barretos;18068;física;2;9;22.22;66,7
322;centro universitário da fundação educacional de barretos;115842;física médica;6;27;22.22;63
323;centro universitário da fundação educacional de barretos;18070;matemática;2;14;14.29;35,7
324;centro universitário da fundação educacional de barretos;3527;odontologia;7;86;8.14;24,4
325;centro universitário da fundação educacional de barretos;115886;pedagogia;7;63;11.11;38,1
326;centro universitário da fundação educacional de barretos;18069;química;8;41;19.51;80
327;centro universitário da fundação educacional de barretos;67297;serviço social;2;39;5.13;25,6
328;centro universitário da fundação educacional de barretos;67299;sistema de informação;4;42;9.52;57,1
329;centro universitário da fundação educacional de barretos;91085;zootecnia;4;28;14.29;28,6
330;centro universitário da fundação educacional guaxupé;10337;administração;8;137;5.84;43,8
331;centro universitário da fundação educacional guaxupé;88988;ciência da computação;3;37;8.11;56,8
332;centro universitário da fundação educacional guaxupé;83202;ciências biológicas;6;42;14.29;72,7
333;centro universitário da fundação educacional guaxupé;10336;ciências contábeis;5;72;6.94;33,3
334;centro universitário da fundação educacional guaxupé;68959;comunicação social - publicidade e propaganda;3;70;4.29;38,6
335;centro universitário da fundação educacional guaxupé;73350;direito;7;112;6.25;52,7
336;centro universitário da fundação educacional guaxupé;88980;educação física;6;66;9.09;56
