instituicao;curso;qtd_bolsas_parciais;qtd_bolsas_integrais;cod_estado;qtd_ingressantes;qtd_desistencias;grande_area;qtd_total_bolsas;percentual_total_bolsas;percentual_bolsas_parciais;percentual_bolsas_integrais;taxa_desistencia_acumulada
universidade ibirapuera;ciencia da computacao;20;5;35;85;50;computacao e tecnologias da informacao e comunicacao (tic);25;0.2;80.0;20.0;58.82
universidade luterana do brasil;ciencia da computacao;0;58;43;111;73;computacao e tecnologias da informacao e comunicacao (tic);58;0.47;0.0;100.0;65.77
universidade nove de julho;ciencia da computacao;66;18;35;1029;638;computacao e tecnologias da informacao e comunicacao (tic);84;0.68;78.57;21.43;62.0
universidade paulista;ciencia da computacao;0;175;35;2490;1776;computacao e tecnologias da informacao e comunicacao (tic);175;1.42;0.0;100.0;71.33
universidade presbiteriana mackenzie;ciencia da computacao;0;11;35;208;105;computacao e tecnologias da informacao e comunicacao (tic);11;0.09;0.0;100.0;50.48
universidade regional do noroeste do estado do rio grande do sul;ciencia da computacao;0;1;43;86;65;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;75.58
universidade regional integrada do alto uruguai e das missoes;ciencia da computacao;2;33;43;156;91;computacao e tecnologias da informacao e comunicacao (tic);35;0.28;5.71;94.29;58.33
universidade salvador;ciencia da computacao;0;11;29;93;51;computacao e tecnologias da informacao e comunicacao (tic);11;0.09;0.0;100.0;54.84
universidade sao judas tadeu;ciencia da computacao;121;10;35;296;200;computacao e tecnologias da informacao e comunicacao (tic);131;1.07;92.37;7.63;67.57
universidade tiradentes;ciencia da computacao;0;13;28;101;52;computacao e tecnologias da informacao e comunicacao (tic);13;0.11;0.0;100.0;51.49
universidade veiga de almeida;ciencia da computacao;14;1;33;505;237;computacao e tecnologias da informacao e comunicacao (tic);15;0.12;93.33;6.67;46.93
universidade vila velha;ciencia da computacao;0;1;32;59;42;computacao e tecnologias da informacao e comunicacao (tic);1;0.01;0.0;100.0;71.19
