;instituicao;curso;qtd_bolsas;cod_estado;qtd_ingressantes;qtd_desistencias;grande_area;percentual_bolsas;taxa_desistencia_acumulada
28;centro de ensino superior do amapa;design;3;16.0;42;36;artes e humanidades;7.14;85.71
29;centro de ensino superior do amapa;direito;15;16.0;277;230;negocios, administracao e direito;5.42;83.03
30;centro de ensino superior do amapa;educacao fisica;4;16.0;123;95;educacao;3.25;77.24
31;centro de estudos superiores aprendiz;direito;10;31.0;44;18;negocios, administracao e direito;22.73;40.91
32;centro regional universitario de espirito santo do pinhal;administracao;17;35.0;78;51;negocios, administracao e direito;21.79;65.38
33;centro regional universitario de espirito santo do pinhal;ciencias biologicas;1;35.0;81;46;educacao;1.23;56.79
34;centro regional universitario de espirito santo do pinhal;direito;17;35.0;73;57;negocios, administracao e direito;23.29;78.08
35;centro regional universitario de espirito santo do pinhal;enfermagem;6;35.0;13;11;saude e bem-estar;46.15;84.62
36;centro regional universitario de espirito santo do pinhal;engenharia agronomica;10;35.0;38;25;agricultura, silvicultura, pesca e veterinaria;26.32;65.79
37;centro regional universitario de espirito santo do pinhal;engenharia ambiental e sanitaria;8;35.0;23;18;engenharia, producao e construcao;34.78;78.26
38;centro regional universitario de espirito santo do pinhal;engenharia de computacao;3;35.0;14;10;computacao e tecnologias da informacao e comunicacao (tic);21.43;71.43
39;centro regional universitario de espirito santo do pinhal;engenharia mecatronica;9;35.0;19;13;engenharia, producao e construcao;47.37;68.42
40;centro regional universitario de espirito santo do pinhal;farmacia;19;35.0;34;22;saude e bem-estar;55.88;64.71
41;centro regional universitario de espirito santo do pinhal;fisioterapia;3;35.0;19;14;saude e bem-estar;15.79;73.68
42;centro regional universitario de espirito santo do pinhal;gastronomia;4;35.0;12;7;servicos;33.33;58.33
