;Nome da Instituição;Nome do Curso de Graduação;Quantia de Bolsas;Quantidade de Ingressantes no Curso;Quantidade de Desistências;Nome da Grande Área do Curso segundo a classificação CINE BRASIL;Percentual de Bolsas;Taxa de Desistência Acumulada
452;universidade luterana do brasil;medicina;6;255;136;saude e bem-estar;2.35;53.33
453;universidade luterana do brasil;odontologia;1;524;313;saude e bem-estar;0.19;59.73
454;universidade luterana do brasil;pedagogia;18;1706;1298;educacao;1.06;76.08
455;universidade luterana do brasil;processos gerenciais;2;93;73;negocios, administracao e direito;2.15;78.49
456;universidade luterana do brasil;producao audiovisual;1;47;40;artes e humanidades;2.13;85.11
457;universidade luterana do brasil;psicologia;4;1362;1185;ciencias sociais, comunicacao e informacao;0.29;87.0
458;universidade luterana do brasil;quimica;7;97;86;educacao;7.22;88.66
459;universidade luterana do brasil;radiologia;2;61;55;saude e bem-estar;3.28;90.16
460;universidade luterana do brasil;redes de computadores;2;210;193;computacao e tecnologias da informacao e comunicacao (tic);0.95;91.9
461;universidade luterana do brasil;servico social;1;417;387;saude e bem-estar;0.24;92.81
462;universidade luterana do brasil;sistemas de informacao;5;646;571;computacao e tecnologias da informacao e comunicacao (tic);0.77;88.39
463;universidade luterana do brasil;teologia;5;111;64;artes e humanidades;4.5;57.66
464;universidade regional do noroeste do estado do rio grande do sul;administracao;57;409;299;negocios, administracao e direito;13.94;73.11
465;universidade regional do noroeste do estado do rio grande do sul;agronomia;18;93;60;agricultura, silvicultura, pesca e veterinaria;19.35;64.52
466;universidade regional do noroeste do estado do rio grande do sul;ciencia da computacao;38;147;117;computacao e tecnologias da informacao e comunicacao (tic);25.85;79.59
467;universidade regional do noroeste do estado do rio grande do sul;ciencias biologicas;5;78;63;educacao;6.41;80.77
468;universidade regional do noroeste do estado do rio grande do sul;ciencias contabeis;16;110;61;negocios, administracao e direito;14.55;55.45
469;universidade regional do noroeste do estado do rio grande do sul;ciencias economicas;9;33;23;ciencias sociais, comunicacao e informacao;27.27;69.7
470;universidade regional do noroeste do estado do rio grande do sul;comunicacao social - publicidade e propaganda;1;29;20;negocios, administracao e direito;3.45;68.97
471;universidade regional do noroeste do estado do rio grande do sul;design;4;50;40;artes e humanidades;8.0;80.0
472;universidade regional do noroeste do estado do rio grande do sul;direito;40;616;420;negocios, administracao e direito;6.49;68.18
473;universidade regional do noroeste do estado do rio grande do sul;educacao fisica;29;323;243;educacao;8.98;75.23
474;universidade regional do noroeste do estado do rio grande do sul;enfermagem;16;78;51;saude e bem-estar;20.51;65.38
475;universidade regional do noroeste do estado do rio grande do sul;engenharia civil;5;255;182;engenharia, producao e construcao;1.96;71.37
476;universidade regional do noroeste do estado do rio grande do sul;engenharia eletrica;20;197;155;engenharia, producao e construcao;10.15;78.68
477;universidade regional do noroeste do estado do rio grande do sul;engenharia mecanica;17;130;97;engenharia, producao e construcao;13.08;74.62
478;universidade regional do noroeste do estado do rio grande do sul;farmacia;18;48;26;saude e bem-estar;37.5;54.17
479;universidade regional do noroeste do estado do rio grande do sul;fisioterapia;16;62;33;saude e bem-estar;25.81;53.23
480;universidade regional do noroeste do estado do rio grande do sul;jornalismo;2;29;21;ciencias sociais, comunicacao e informacao;6.9;72.41
481;universidade regional do noroeste do estado do rio grande do sul;letras - ingles;3;17;17;educacao;17.65;100.0
482;universidade regional do noroeste do estado do rio grande do sul;matematica;4;19;9;educacao;21.05;47.37
483;universidade regional do noroeste do estado do rio grande do sul;medicina veterinaria;14;110;71;agricultura, silvicultura, pesca e veterinaria;12.73;64.55
484;universidade regional do noroeste do estado do rio grande do sul;nutricao;14;82;53;saude e bem-estar;17.07;64.63
485;universidade regional do noroeste do estado do rio grande do sul;pedagogia;20;124;76;educacao;16.13;61.29
486;universidade regional do noroeste do estado do rio grande do sul;psicologia;25;150;98;ciencias sociais, comunicacao e informacao;16.67;65.33
487;universidade regional do noroeste do estado do rio grande do sul;quimica;3;27;19;educacao;11.11;70.37
488;universidade regional do noroeste do estado do rio grande do sul;relacoes publicas;2;10;8;negocios, administracao e direito;20.0;80.0
489;universidade regional do noroeste do estado do rio grande do sul;servico social;1;30;21;saude e bem-estar;3.33;70.0
490;universidade regional integrada do alto uruguai e das missoes;administracao;56;482;291;negocios, administracao e direito;11.62;60.37
491;universidade regional integrada do alto uruguai e das missoes;agronegocio;4;33;11;agricultura, silvicultura, pesca e veterinaria;12.12;33.33
492;universidade regional integrada do alto uruguai e das missoes;agronomia;7;89;48;agricultura, silvicultura, pesca e veterinaria;7.87;53.93
493;universidade regional integrada do alto uruguai e das missoes;arquitetura e urbanismo;6;37;28;engenharia, producao e construcao;16.22;75.68
494;universidade regional integrada do alto uruguai e das missoes;ciencia da computacao;25;149;101;computacao e tecnologias da informacao e comunicacao (tic);16.78;67.79
495;universidade regional integrada do alto uruguai e das missoes;ciencias biologicas;34;126;71;educacao;26.98;56.35
496;universidade regional integrada do alto uruguai e das missoes;ciencias contabeis;38;247;131;negocios, administracao e direito;15.38;53.04
497;universidade regional integrada do alto uruguai e das missoes;direito;72;718;379;negocios, administracao e direito;10.03;52.79
498;universidade regional integrada do alto uruguai e das missoes;educacao fisica;28;151;87;educacao;18.54;57.62
499;universidade regional integrada do alto uruguai e das missoes;eletrotecnica industrial;4;12;12;engenharia, producao e construcao;33.33;100.0
500;universidade regional integrada do alto uruguai e das missoes;enfermagem;31;138;68;saude e bem-estar;22.46;49.28
501;universidade regional integrada do alto uruguai e das missoes;engenharia civil;13;151;89;engenharia, producao e construcao;8.61;58.94
502;universidade regional integrada do alto uruguai e das missoes;engenharia mecanica;21;171;154;engenharia, producao e construcao;12.28;90.06
503;universidade regional integrada do alto uruguai e das missoes;farmacia;19;128;61;saude e bem-estar;14.84;47.66
504;universidade regional integrada do alto uruguai e das missoes;fisioterapia;12;52;24;saude e bem-estar;23.08;46.15
505;universidade regional integrada do alto uruguai e das missoes;historia;10;16;10;educacao;62.5;62.5
506;universidade regional integrada do alto uruguai e das missoes;letras - portugues e espanhol;1;9;5;educacao;11.11;55.56
507;universidade regional integrada do alto uruguai e das missoes;letras - portugues e ingles;7;52;30;educacao;13.46;57.69
508;universidade regional integrada do alto uruguai e das missoes;matematica;10;38;18;educacao;26.32;47.37
509;universidade regional integrada do alto uruguai e das missoes;nutricao;10;89;31;saude e bem-estar;11.24;34.83
510;universidade regional integrada do alto uruguai e das missoes;odontologia;6;44;13;saude e bem-estar;13.64;29.55
511;universidade regional integrada do alto uruguai e das missoes;pedagogia;17;122;65;educacao;13.93;53.28
512;universidade regional integrada do alto uruguai e das missoes;psicologia;26;144;81;ciencias sociais, comunicacao e informacao;18.06;56.25
513;universidade regional integrada do alto uruguai e das missoes;quimica;22;37;17;ciencias naturais, matematica e estatistica;59.46;45.95
514;universidade regional integrada do alto uruguai e das missoes;secretariado executivo bilingue;5;14;4;negocios, administracao e direito;35.71;28.57
515;universidade regional integrada do alto uruguai e das missoes;servico social;11;30;6;saude e bem-estar;36.67;20.0
516;universidade regional integrada do alto uruguai e das missoes;sistemas de informacao;4;46;37;computacao e tecnologias da informacao e comunicacao (tic);8.7;80.43
517;universidade regional integrada do alto uruguai e das missoes;teologia;1;13;9;artes e humanidades;7.69;69.23
