Unnamed: 0;Nome da Instituição;Código do Curso de Graduação;Nome do Curso de Graduação;Quantia de Bolsas;Quantidade de Ingressantes no Curso;Percentual de Bolsas;Taxa de Desistência Acumulada - TODA;Nome da Grande Área do Curso segundo a classificação CINE BRASIL
93;faculdade de tecnologia tecbrasil - unidade novo hamburgo;122544;processos gerenciais;5;59;8.47;100;negócios, administração e direito
94;faculdade dom bosco de porto alegre;57908;administração;15;113;13.27;68,1;negócios, administração e direito
95;faculdade dom bosco de porto alegre;59091;ciências contábeis;7;62;11.29;67,2;negócios, administração e direito
96;faculdade dom bosco de porto alegre;106816;direito;5;133;3.76;67,7;negócios, administração e direito
97;faculdade dom bosco de porto alegre;86449;engenharia ambiental e sanitária;1;43;2.33;81,4;engenharia, produção e construção
98;faculdade dom bosco de porto alegre;57906;sistemas de informação;8;46;17.39;71,7;computação e tecnologias da informação e comunicação (tic)
99;faculdade ecoar;113935;gestão ambiental;3;23;13.04;60,9;engenharia, produção e construção
100;faculdade equipe;57110;administração;3;73;4.11;84,9;negócios, administração e direito
101;faculdade especializada na área de saúde do rio grande do sul;1024230;odontologia;6;84;7.14;32,1;saúde e bem-estar
102;faculdade fae sévigné porto alegre;110424;análise e desenvolvimento de sistemas;3;23;13.04;95,7;computação e tecnologias da informação e comunicação (tic)
103;faculdade fae sévigné porto alegre;112420;gestão de recursos humanos;4;51;7.84;72,5;negócios, administração e direito
104;faculdade fae sévigné porto alegre;112428;gestão financeira;3;22;13.64;77,3;negócios, administração e direito
105;faculdade fae sévigné porto alegre;98147;pedagogia;3;37;8.11;100;educação
106;faculdade horizontina;74249;engenharia de produção;8;63;12.7;69,8;engenharia, produção e construção
107;faculdade horizontina;48113;engenharia mecânica;6;70;8.57;46,4;engenharia, produção e construção
108;faculdade inedi;79482;administração;37;301;12.29;40,3;negócios, administração e direito
109;faculdade inedi;79480;ciências contábeis;12;193;6.22;75,1;negócios, administração e direito
110;faculdade inedi;107082;pedagogia;18;203;8.87;79,3;educação
111;faculdade inedi;5000002;psicologia;18;239;7.53;74,5;ciências sociais, comunicação e informação
112;faculdade integrada de santa maria;67609;administração;27;78;34.62;64,1;negócios, administração e direito
113;faculdade integrada de santa maria;67569;enfermagem;25;82;30.49;70,7;saúde e bem-estar
114;faculdade integrada de santa maria;96094;psicologia;19;51;37.25;74,5;ciências sociais, comunicação e informação
115;faculdade meridional;97081;administração;6;118;5.08;67,8;negócios, administração e direito
116;faculdade meridional;122796;arquitetura e urbanismo;12;195;6.15;53,3;engenharia, produção e construção
117;faculdade meridional;80299;direito;24;314;7.64;51,3;negócios, administração e direito
118;faculdade meridional;101182;gestão pública;3;11;27.27;63,6;negócios, administração e direito
119;faculdade meridional;122802;odontologia;3;68;4.41;69,1;saúde e bem-estar
120;faculdade meridional;98065;psicologia;2;151;1.32;38,4;ciências sociais, comunicação e informação
121;faculdade meridional;96855;sistema de informação;5;62;8.06;67,7;computação e tecnologias da informação e comunicação (tic)
122;faculdade monteiro lobato;68356;administração;25;141;17.73;77,3;negócios, administração e direito
123;faculdade monteiro lobato;68358;ciências contábeis;2;39;5.13;76,9;negócios, administração e direito
124;faculdade monteiro lobato;115394;gestão ambiental;2;26;7.69;88,5;engenharia, produção e construção
125;faculdade novo hamburgo;101454;administração;3;42;7.14;61,9;negócios, administração e direito
126;faculdade novo hamburgo;119946;redes de computadores;2;21;9.52;75;computação e tecnologias da informação e comunicação (tic)
127;faculdade são francisco de assis;67774;administração;12;509;2.36;84,6;negócios, administração e direito
128;faculdade são francisco de assis;67776;ciências contábeis;2;247;0.81;68,8;negócios, administração e direito
129;faculdade três de maio;6741;administração;8;79;10.13;35,4;negócios, administração e direito
130;faculdade três de maio;119212;agronomia;3;43;6.98;39,5;agricultura, silvicultura, pesca e veterinária
131;faculdade três de maio;45559;enfermagem;3;48;6.25;18,8;saúde e bem-estar
132;faculdade três de maio;68980;engenharia de produção;3;29;10.34;51,7;engenharia, produção e construção
133;faculdade três de maio;32470;pedagogia;3;21;14.29;38,1;educação
134;faculdade três de maio;104028;psicologia;2;23;8.7;30,4;ciências sociais, comunicação e informação
135;faculdade três de maio;72485;redes de computadores;5;19;26.32;31,6;computação e tecnologias da informação e comunicação (tic)
136;faculdade três de maio;20130;sistemas de informação;3;25;12.0;48;computação e tecnologias da informação e comunicação (tic)
137;faculdades est;20484;teologia;23;141;16.31;44,3;artes e humanidades
138;faculdades integradas machado de assis;18732;administração;28;116;24.14;48,3;negócios, administração e direito
139;faculdades integradas machado de assis;8901;ciências contábeis;17;137;12.41;40,9;negócios, administração e direito
140;faculdades integradas machado de assis;96010;direito;18;164;10.98;37,8;negócios, administração e direito
141;faculdades integradas machado de assis;73453;serviço social;7;33;21.21;36,4;saúde e bem-estar
142;instituto superior de educação ivoti;119032;pedagogia;5;54;9.26;57,4;educação
143;instituto superior de filosofia berthier;74493;filosofia;4;22;18.18;54,5;artes e humanidades
144;pontifícia universidade católica do rio grande do sul;88923;administração;56;478;11.72;48,7;negócios, administração e direito
145;pontifícia universidade católica do rio grande do sul;18056;arquitetura e urbanismo;10;139;7.19;59,7;engenharia, produção e construção
146;pontifícia universidade católica do rio grande do sul;1904;ciência da computação;12;144;8.33;74,3;computação e tecnologias da informação e comunicação (tic)
147;pontifícia universidade católica do rio grande do sul;1923;ciências aeronáuticas;1;65;1.54;24,6;serviços
148;pontifícia universidade católica do rio grande do sul;1905;ciências biológicas;8;168;4.76;92,9;educação
149;pontifícia universidade católica do rio grande do sul;88932;ciências contábeis;17;103;16.5;48,5;negócios, administração e direito
150;pontifícia universidade católica do rio grande do sul;1890;ciências econômicas;16;93;17.2;51,6;ciências sociais, comunicação e informação
151;pontifícia universidade católica do rio grande do sul;1888;direito;94;1100;8.55;35,7;negócios, administração e direito
152;pontifícia universidade católica do rio grande do sul;39514;educação física;34;191;17.8;66,7;educação
153;pontifícia universidade católica do rio grande do sul;56702;engenharia de computação;7;77;9.09;72,7;computação e tecnologias da informação e comunicação (tic)
154;pontifícia universidade católica do rio grande do sul;1925;engenharia de controle e automação;10;81;12.35;67,9;engenharia, produção e construção
155;pontifícia universidade católica do rio grande do sul;116150;engenharia elétrica e eletrônica;13;22;59.09;100;engenharia, produção e construção
156;pontifícia universidade católica do rio grande do sul;1881;filosofia;2;91;2.2;93,1;educação
157;pontifícia universidade católica do rio grande do sul;1107916;gestão de turismo;19;80;23.75;53,8;serviços
158;pontifícia universidade católica do rio grande do sul;102728;história;14;117;11.97;94,1;educação
